Cdp107.20

CUSTOMER  VEHICLE
NUMBER	  NUMBER     CAPACITY
   20        25       200

CUSTOMER
CUST NO.  XCOORD.   YCOORD.   DDEMAND   PDEMAND   READY TIME  DUE DATE   SERVICE TIME

    0      40         50          0          0          0       1236          0
   16      20         85         40         10        412        592         90
   20      30         50         10         10         10        190         90
   28      23         55         20         20        480        660         90
   34       8         45         20         10        694        874         90
   35       5         35         10         20        224        404         90
   36       5         45         10         30        601        781         90
   41      35         32         10         10        111        291         90
   42      33         32         20         50         19        199         90
   45      30         30         10         20        481        661         90
   65      48         40         10         30         13        193         90
   68      45         30         10         10        666        846         90
   72      53         30         10         10        388        568         90
   73      92         30         10         10        425        605         90
   74      53         35         50         10        293        473         90
   77      88         30         10         20        519        699         90
   79      87         30         10         20        610        790         90
   83      72         55         10         10        212        392         90
   93      65         85         40         20        407        587         90
   95      62         80         30         10        128        308         90
   98      58         75         20         10         30        210         90
