Rdp107.20

CUSTOMER  VEHICLE
NUMBER	  NUMBER     CAPACITY
   20        25        200

CUSTOMER
CUST NO.  XCOORD.   YCOORD.   DDEMAND   PDEMAND   READY TIME  DUE DATE   SERVICE TIME

    0      35         35          0          0          0        230          0
    4      55         20         19         10        139        169         10
    6      25         30          3         18         89        119         10
   18      20         40         12          0          0        204         10
   22      45         10         18          5         87        117         10
   26      45         30         17         13          0        208         10
   30      40         60         21         16         61         91         10
   32      35         69         23         23          0        186         10
   40      40         25          9         24         75        105         10
   41      42          7          5         29         87        117         10
   45       6         38         16          2         29         59         10
   46       2         48          1          9          0        184         10
   54      57         29         18         22          0        197         10
   55      63         23          2         14        126        156         10
   56      53         12          6         19        120        150         10
   59      21         24         28          8          0        202         10
   65      62         77         20         21         49         79         10
   71      57         68         15         29          0        180         10
   90      31         67          3         13          0        187         10
   91      15         19          1         25          0        194         10
   97      25         21         12         26          0        202         10
