Rdp104.20

CUSTOMER  VEHICLE
NUMBER	  NUMBER     CAPACITY
   20        25        200

CUSTOMER
CUST NO.  XCOORD.   YCOORD.   DDEMAND   PDEMAND   READY TIME  DUE DATE   SERVICE TIME

    0      35         35          0          0          0        230          0
    5      15         30         26         14          0        199         10
    9      55         60         16         12         97        107         10
   12      50         35         19         18          0        205         10
   20      45         65          9         24          0        188         10
   25      65         20          6          9        172        182         10
   29      64         42          9         21          0        190         10
   32      35         69         23         12          0        186         10
   36       2         60          5         32          0        178         10
   44      11         14         18          2         69         79         10
   45       6         38         16         10          0        190         10
   51      49         58         10         28          0        193         10
   55      63         23          2         36        136        146         10
   59      21         24         28          8          0        202         10
   62      24         58         19         26         58         68         10
   65      62         77         20         14          0        170         10
   70      37         56          5         40          0        198         10
   73      44         17          9         14          0        199         10
   77      53         43         14          7        179        189         10
   88      26         52          9          5          0        200         10
   94      26         27         27         19          0        207         10
