Cdp206.20

CUSTOMER  VEHICLE
NUMBER	  NUMBER     CAPACITY
   20        25       700

CUSTOMER
CUST NO.  XCOORD.   YCOORD.   DDEMAND   PDEMAND   READY TIME  DUE DATE   SERVICE TIME

    0      40         50          0          0          0       3390          0
    2      45         70         30         30         22        563         90
   13      22         75         30         10       2310       2659         90
   15      20         80         40         10       2077       2514         90
   20      30         50         10         10         10        645         90
   22      28         52         20         20         12        505         90
   25      22         66         40         10       2380       2787         90
   26       8         62         10         20       1330       1919         90
   29      20         50         10         10        168        787         90
   34       8         45         20         30       1190       1661         90
   46      34         25         30         20       1884       2293         90
   53      44          5         20         40       1078       1593         90
   54      42         10         40         10        998       1481         90
   61      50         30         10         40        223        738         90
   62      50         35         20         10         18        474         90
   71      95         35         20         40       2079       2532         90
   72      53         30         10         10        131        644         90
   74      53         35         50         10         87        498         90
   80      85         25         10         10       2369       2816         90
   87      64         46         20         10       2976       3275         90
   92      67         85         20         30        518       1029         90
