Rdp103.20

CUSTOMER  VEHICLE
NUMBER	  NUMBER     CAPACITY
   20        25        200

CUSTOMER
CUST NO.  XCOORD.   YCOORD.   DDEMAND   PDEMAND   READY TIME  DUE DATE   SERVICE TIME

    0      35         35          0          0          0        230          0
    3      55         45         13         16          0        197         10
    4      55         20         19         26        149        159         10
    9      55         60         16         15         97        107         10
   26      45         30         17         21          0        208         10
   27      35         40         16         18         37         47         10
   41      42          7          5          4         97        107         10
   43      23          3          7         16          0        185         10
   44      11         14         18          4         69         79         10
   46       2         48          1          3          0        184         10
   48      13         52         36         16          0        192         10
   49       6         68         30         24        108        118         10
   53      37         31         14         22         95        105         10
   54      57         29         18          4          0        197         10
   62      24         58         19         23         58         68         10
   63      27         69         10         15          0        185         10
   66      49         73         25          7        127        137         10
   71      57         68         15          5          0        180         10
   79      57         48         23         10         92        102         10
   97      25         21         12          4          0        202         10
   98      19         21         10         33          0        198         10
