Rdp110.20

CUSTOMER  VEHICLE
NUMBER	  NUMBER     CAPACITY
   20        25        200

CUSTOMER
CUST NO.  XCOORD.   YCOORD.   DDEMAND   PDEMAND   READY TIME  DUE DATE   SERVICE TIME

    0      35         35          0          0          0        230          0
    1      41         49         10          2        130        201         10
    7      20         50          5         15         66        105         10
   11      20         65         12          9         33        152         10
   26      45         30         17         35        117        156         10
   31      31         52         27         15         24         85         10
   34      65         55         14         13        100        143         10
   35      63         65          8          1         50        178         10
   44      11         14         18         15         31        138         10
   49       6         68         30         38         93        132         10
   60      17         34          3          5        130        201         10
   61      12         24         13         28         59        102         10
   64      15         77          9         18         46        165         10
   66      49         73         25         18         77        179         10
   68      56         39         36          4         82        198         10
   76      49         42         13          4         36        119         10
   81      55         54         26          7         87        110         10
   86       4         18         35          3         79        118         10
   94      26         27         27         15         88        121         10
   96      22         27         11         14        119        160         10
  100      18         18         17          1         28        195         10
