Rdp112.20

CUSTOMER  VEHICLE
NUMBER	  NUMBER     CAPACITY
   20        25        200

CUSTOMER
CUST NO.  XCOORD.   YCOORD.   DDEMAND   PDEMAND   READY TIME  DUE DATE   SERVICE TIME

    0      35         35          0          0          0        230          0
    1      41         49         10          8         73        204         10
    3      55         45         13         10         76        165         10
    7      20         50          5         11         36        135         10
   17       5         30          2         15         60        189         10
   20      45         65          9         29         79        182         10
   26      45         30         17          5         87        186         10
   33      53         52         11         14         24        161         10
   38       5          5         16         13         42        153         10
   41      42          7          5         21         43        160         10
   45       6         38         16          5         29        169         10
   50      47         47         13          2         75        182         10
   56      53         12          6          6         76        190         10
   58      36         26         18         18         84        210         10
   74      46         13          8         26         74        195         10
   85      16         22         41         13         44        147         10
   91      15         19          1          7         70        194         10
   92      22         22          2         26         18        159         10
   93      18         24         22          0         60        199         10
   94      26         27         27         28         58        151         10
  100      18         18         17         29         51        195         10
