RCdp201.20

CUSTOMER  VEHICLE
NUMBER	  NUMBER     CAPACITY
   20        25       1000

CUSTOMER
CUST NO.  XCOORD.   YCOORD.   DDEMAND   PDEMAND   READY TIME  DUE DATE   SERVICE TIME

    0      40         50          0          0          0        960          0
    2      22         75         30         10        152        272         10
    7      15         75         20         20        300        420         10
    9      10         35         20         10        371        491         10
   13       5         35         10         30        653        773         10
   14       5         45         10         30         35        155         10
   16       0         40         20         10        255        375         10
   21      40          5         10         10        215        335         10
   23      38          5         30         30        201        321         10
   37      65         82         10         40        557        677         10
   42      55         80         10         30         33        153         10
   55      30         60         16         15        599        719         10
   63      65         20          6         31         39        159         10
   64      45         30         17         11        191        311         10
   70      35         69         23          6        810        930         10
   77      23          3          7          6        764        884         10
   81      49         58         10          5        355        475         10
   83      37         31         14          3        105        225         10
   85      63         23          2          5        344        464         10
   87      12         24         13         37        359        479         10
   98      26         52          9          8        172        292         10
