Cdp202.20

CUSTOMER  VEHICLE
NUMBER	  NUMBER     CAPACITY
   20        25       700

CUSTOMER
CUST NO.  XCOORD.   YCOORD.   DDEMAND   PDEMAND   READY TIME  DUE DATE   SERVICE TIME

    0      40         50          0          0          0       3390          0
    5      42         65         10         30          0       3284         90
   16      20         85         40         10       1934       2094         90
   18      15         75         20         20       1742       1902         90
   26       8         62         10         10          0       3265         90
   27      23         52         10         10        209        369         90
   36       5         45         10         40       1253       1413         90
   37       2         40         20         10          0       3260         90
   54      42         10         40         20       1160       1320         90
   55      42         15         10         10       1065       1225         90
   58      38          5         30         30       1442       1602         90
   63      50         40         50         40         25        185         90
   64      48         30         10         20        493        653         90
   68      42         30         10         10        776        936         90
   72      53         30         10         10          0       3276         90
   75      45         65         20         20          0       3284         90
   80      85         25         10         20       2513       2673         90
   82      75         55         20         30          0       3264         90
   84      70         58         20         10       1641       1801         90
   95      62         80         30         20          0       3262         90
   99      55         80         10         10        407        567         90
