Rdp106.20

CUSTOMER  VEHICLE
NUMBER	  NUMBER     CAPACITY
   20        25        200

CUSTOMER
CUST NO.  XCOORD.   YCOORD.   DDEMAND   PDEMAND   READY TIME  DUE DATE   SERVICE TIME

    0      35         35          0          0          0        230          0
   10      30         60         16          7        114        144         10
   18      20         40         12         15         77        107         10
   21      45         20         11         14          0        201         10
   23      55          5         29         21         58         88         10
   26      45         30         17          3          0        208         10
   30      40         60         21          3         61         91         10
   31      31         52         27         11          0        202         10
   37      20         20          8          6          0        198         10
   40      40         25          9          6         75        105         10
   44      11         14         18         21         59         89         10
   50      47         47         13          6          0        203         10
   55      63         23          2         10        126        156         10
   70      37         56          5          8        168        198         10
   72      47         16         25         34          0        197         10
   77      53         43         14          2        169        199         10
   81      55         54         26         13         84        114         10
   85      16         22         41          7          0        196         10
   90      31         67          3         27         85        115         10
   93      18         24         22          1        169        199         10
   96      22         27         11         16          0        204         10
