RCdp205.20

CUSTOMER  VEHICLE
NUMBER	  NUMBER     CAPACITY
   20        25       1000

CUSTOMER
CUST NO.  XCOORD.   YCOORD.   DDEMAND   PDEMAND   READY TIME  DUE DATE   SERVICE TIME

    0      40         50          0          0          0        960          0
    2      22         75         30         10         30        510         10
   12       8         45         20         20         43        523         10
   21      40          5         10         20         45        525         10
   23      38          5         30         10        231        291         10
   28      92         30         10         10         78        339         10
   36      65         85         40         30         43        186         10
   37      65         82         10         10        377        857         10
   46      18         80         10         20        432        665         10
   47       2         45         10         10         38        322         10
   48      42          5         10         40        424        904         10
   52      25         30          3         19         25        505         10
   54      55         60         16         15        554        767         10
   57      30         25         23         20        342        571         10
   58      15         10         20          5        842        902         10
   59      10         20         19          4         42        522         10
   69      31         52         27         32        187        247         10
   75       5          5         16          7         57        537         10
   91      49         42         13          5        457        937         10
   92      53         43         14         13         14         74         10
   94      57         48         23         12        212        692         10
