Rdp208.20

CUSTOMER  VEHICLE
NUMBER	  NUMBER     CAPACITY
   20        25       1000

CUSTOMER
CUST NO.  XCOORD.   YCOORD.   DDEMAND   PDEMAND   READY TIME  DUE DATE   SERVICE TIME

    0      35         35          0          0          0       1000          0
    4      55         20         19          6        620        860         10
    5      15         30         26         10          0        969         10
   13      30         25         23         20        639        879         10
   15      30          5          8          6        118        358         10
   26      45         30         17          5          0        978         10
   31      31         52         27         12          0        972         10
   34      65         55         14          9          0        953         10
   35      63         65          8          6          0        948         10
   37      20         20          8         11          0        968         10
   40      40         25          9          7          0        978         10
   47       8         56         27         16          0        955         10
   57      32         12          7          7          0        966         10
   59      21         24         28         13          0        972         10
   65      62         77         20         10          0        940         10
   66      49         73         25          8          0        949         10
   70      37         56          5         20          0        968         10
   71      57         68         15          6          0        950         10
   82      15         47         16          6          0        966         10
   87      28         18         26         25        314        554         10
   89      26         35         15         15          0        981         10
