Rdp204.20

CUSTOMER  VEHICLE
NUMBER	  NUMBER     CAPACITY
   20        25       1000

CUSTOMER
CUST NO.  XCOORD.   YCOORD.   DDEMAND   PDEMAND   READY TIME  DUE DATE   SERVICE TIME

    0      35         35          0          0          0       1000          0
    4      55         20         19          5        678        801         10
    7      20         50          5         10          0        968         10
   11      20         65         12          8        206        325         10
   21      45         20         11         12          0        971         10
   26      45         30         17         13          0        978         10
   30      40         60         21          7          0        964         10
   31      31         52         27          3          0        972         10
   39      60         12         31          6          0        956         10
   40      40         25          9          5          0        978         10
   41      42          7          5          7          0        961         10
   44      11         14         18          4        233        340         10
   52      27         43          9          4          0        978         10
   58      36         26         18          7        849        980         10
   63      27         69         10          4          0        955         10
   64      15         77          9         22          0        943         10
   66      49         73         25          0          0        949         10
   77      53         43         14          4        817        952         10
   88      26         52          9          3          0        970         10
   93      18         24         22          9          0        969         10
   99      20         26          9         12        333        432         10
