Cdp109.80

CUSTOMER  VEHICLE
NUMBER	  NUMBER     CAPACITY
   80        25       200

CUSTOMER
CUST NO.  XCOORD.   YCOORD.   DDEMAND   PDEMAND   READY TIME  DUE DATE   SERVICE TIME

    0      40         50          0          0          0       1236          0
    1      45         68         10         10        760       1120         90
    2      45         70         30         40        668       1028         90
    3      42         66         10         10         16        376         90
    5      42         65         10         10         15        375         90
    7      40         66         20         10         18        378         90
   11      35         69         10         10        297        657         90
   12      25         85         20         10        507        867         90
   13      22         75         30         40         30        390         90
   14      22         85         10         50        414        774         90
   17      18         75         20         40         33        393         90
   18      15         75         20         20         37        397         90
   19      15         80         10         40        132        492         90
   20      30         50         10         10         10        370         90
   21      30         52         20         20        760       1120         90
   22      28         52         20         10        668       1028         90
   23      28         55         10         10        575        935         90
   24      25         50         10         30         15        375         90
   25      25         52         40         10         17        377         90
   26      25         55         10         10        482        842         90
   27      23         52         10         10        109        469         90
   28      23         55         20         10        390        750         90
   29      20         50         10         30        202        562         90
   31      10         35         20         10         39        399         90
   32      10         40         30         10         31        391         90
   33       8         40         40         10         33        393         90
   34       8         45         20         10        604        964         90
   35       5         35         10         20        134        494         90
   36       5         45         10         20        511        871         90
   38       0         40         30         10        321        681         90
   40      35         30         10         10        113        473         90
   41      35         32         10         20         21        381         90
   42      33         32         20         20         19        379         90
   43      33         35         10         10         16        376         90
   44      32         30         10         10        206        566         90
   46      30         32         30         20        299        659         90
   47      30         35         10         30        767       1127         90
   49      28         35         10         10        766       1126         90
   50      26         32         10         10        668       1028         90
   51      25         30         10         20        576        936         90
   52      25         35         10         30        761       1121         90
   53      44          5         20         20        137        497         90
   54      42         10         40         20         42        402         90
   56      40          5         30         10        231        591         90
   58      38          5         30         10        323        683         90
   59      38         15         10         10        516        876         90
   60      35          5         20         10        416        776         90
   61      50         30         10         30        391        751         90
   63      50         40         50         30         15        375         90
   64      48         30         10         20        483        843         90
   66      47         35         10         20        671       1031         90
   67      47         40         10         20         12        372         90
   68      45         30         10         30        576        936         90
   69      45         35         10         40        763       1123         90
   70      95         30         30         10        242        602         90
   71      95         35         20         30        147        507         90
   72      53         30         10         10        298        658         90
   73      92         30         10         10        335        695         90
   74      53         35         50         20        203        563         90
   75      45         65         20         10        770       1130         90
   77      88         30         10         10        429        789         90
   78      88         35         20         20         50        410         90
   79      87         30         10         10        520        880         90
   81      85         35         30         20         47        407         90
   82      75         55         20         10        215        575         90
   83      72         55         10         10        122        482         90
   85      68         60         30         20        404        764         90
   86      66         55         10         20         26        386         90
   87      65         55         20         30         25        385         90
   88      65         60         30         40        497        857         90
   89      63         58         10         10        590        950         90
   90      60         55         10         30         20        380         90
   91      60         60         10         20        683       1043         90
   92      67         85         20         20        225        585         90
   93      65         85         40         30        317        677         90
   94      65         82         10         10        131        491         90
   96      60         80         10         20         36        396         90
   97      60         85         30         30        412        772         90
   98      58         75         20         10         30        390         90
   99      55         80         10         50        602        962         90
  100      55         85         20         10        507        867         90
