Cdp202.80

CUSTOMER  VEHICLE
NUMBER	  NUMBER     CAPACITY
   80        25       700

CUSTOMER
CUST NO.  XCOORD.   YCOORD.   DDEMAND   PDEMAND   READY TIME  DUE DATE   SERVICE TIME

    0      40         50          0          0          0       3390          0
    1      52         75         10         10          0       3272         90
    2      45         70         30         30          0       3279         90
    3      62         69         10         10          0       3270         90
    4      60         66         10         20       1261       1421         90
    5      42         65         10         30          0       3284         90
    7      58         70         20         10          0       3273         90
    8      34         60         20         20       2887       3047         90
    9      28         70         10         10       2601       2761         90
   10      35         66         10         20       2791       2951         90
   11      35         69         10         20       2698       2858         90
   13      22         75         30         10       2405       2565         90
   14      22         85         10         10       2026       2186         90
   15      20         80         40         10       2216       2376         90
   16      20         85         40         10       1934       2094         90
   17      18         75         20         20       2311       2471         90
   18      15         75         20         20       1742       1902         90
   19      15         80         10         10       1837       1997         90
   20      30         50         10         10         10        170         90
   21      30         56         20         10          0       3288         90
   26       8         62         10         10          0       3265         90
   27      23         52         10         10        209        369         90
   28       4         55         20         10       1447       1607         90
   29      20         50         10         30        398        558         90
   31      10         35         20         10          0       3266         90
   34       8         45         20         10          0       3267         90
   35       5         35         10         20        876       1036         90
   36       5         45         10         40       1253       1413         90
   37       2         40         20         10          0       3260         90
   39       0         45         20         10       1158       1318         90
   40      36         18         10         30       1819       1979         90
   43      33         35         10         20       2573       2733         90
   44      32         20         10         40       1913       2073         90
   47      30         35         10         10       2480       2640         90
   48      36         40         10         20          0       3289         90
   49      48         20         10         10        967       1127         90
   50      26         32         10         20          0       3277         90
   51      25         30         10         30       2200       2360         90
   52      25         35         10         10          0       3278         90
   54      42         10         40         20       1160       1320         90
   55      42         15         10         10       1065       1225         90
   56      40          5         30         10       1350       1510         90
   57      38         15         40         20       1725       1885         90
   58      38          5         30         30       1442       1602         90
   59      38         10         10         30          0       3259         90
   62      50         35         20         20        120        280         90
   63      50         40         50         40         25        185         90
   64      48         30         10         20        493        653         90
   65      44         25         10         10        871       1031         90
   66      47         35         10         40        588        748         90
   67      47         40         10         30         12        172         90
   68      42         30         10         10        776        936         90
   69      45         35         10         30        680        840         90
   70      95         30         30         20       2321       2481         90
   71      95         35         20         10       2226       2386         90
   72      53         30         10         10          0       3276         90
   73      92         30         10         10       2414       2574         90
   74      53         35         50         20        213        373         90
   75      45         65         20         20          0       3284         90
   76      90         35         10         10       2131       2291         90
   77      72         45         10         30       2900       3060         90
   78      78         40         20         10       2802       2962         90
   79      87         30         10         10       2608       2768         90
   80      85         25         10         20       2513       2673         90
   81      85         35         30         10       2703       2863         90
   82      75         55         20         30          0       3264         90
   84      70         58         20         10       1641       1801         90
   85      86         46         30         20          0       3253         90
   86      66         55         10         20       1736       1896         90
   87      64         46         20         40       3097       3257         90
   88      65         60         30         10       1546       1706         90
   89      56         64         10         40       1355       1515         90
   90      60         55         10         10       3119       3279         90
   91      60         60         10         10          0       3277         90
   92      67         85         20         20        694        854         90
   93      42         58         40         50          8        168         90
   95      62         80         30         20          0       3262         90
   96      62         40         10         10          0       3275         90
   98      58         75         20         10          0       3269         90
   99      55         80         10         10        407        567         90
  100      55         85         20         10        502        662         90
