Rdp205.80

CUSTOMER  VEHICLE
NUMBER	  NUMBER     CAPACITY
   80        25       1000

CUSTOMER
CUST NO.  XCOORD.   YCOORD.   DDEMAND   PDEMAND   READY TIME  DUE DATE   SERVICE TIME

    0      35         35          0          0          0       1000          0
    2      35         17          7         15         93        333         10
    3      55         45         13          9        436        676         10
    6      25         30          3          9        345        585         10
    7      20         50          5         19        251        491         10
    8      10         43          9          0        323        563         10
    9      55         60         16          6        329        569         10
   10      30         60         16         13        485        725         10
   11      20         65         12          8        146        386         10
   12      50         35         19         40        167        407         10
   13      30         25         23         13        639        879         10
   14      15         10         20          3         32        272         10
   15      30          5          8          4        118        358         10
   16      10         20         19         25        203        443         10
   17       5         30          2         25        682        922         10
   19      15         60         17         21        204        444         10
   20      45         65          9         40        504        744         10
   21      45         20         11         15        153        393         10
   22      45         10         18          9        332        572         10
   23      55          5         29          6        146        386         10
   24      65         35          3          6        656        896         10
   25      65         20          6         31        716        956         10
   27      35         40         16          2         60        300         10
   28      41         37         16         10         65        305         10
   29      64         42          9         33        132        372         10
   32      35         69         23         10        599        839         10
   33      53         52         11          3         24        264         10
   34      65         55         14          3        452        692         10
   35      63         65          8          4        630        870         10
   37      20         20          8          9        530        770         10
   38       5          5         16         13        234        474         10
   39      60         12         31         11         33        273         10
   40      40         25          9          7        279        519         10
   41      42          7          5         15        334        574         10
   42      24         12          5         19         25        265         10
   43      23          3          7          8        543        783         10
   44      11         14         18          6        167        407         10
   45       6         38         16         11         29        269         10
   46       2         48          1         12        452        692         10
   48      13         52         36         28        720        960         10
   50      47         47         13         10        475        715         10
   53      37         31         14         25        332        572         10
   54      57         29         18          9        568        808         10
   55      63         23          2          4        560        800         10
   57      32         12          7          9        356        596         10
   59      21         24         28          9         17        257         10
   60      17         34          3          9        672        912         10
   61      12         24         13         44        214        454         10
   62      24         58         19          3        113        353         10
   64      15         77          9          4        154        394         10
   65      62         77         20          9         49        289         10
   66      49         73         25         13        523        763         10
   67      67          5         25         18        228        468         10
   68      56         39         36          9        575        815         10
   69      37         47          6         25        108        348         10
   70      37         56          5         22        728        968         10
   71      57         68         15         19        198        438         10
   72      47         16         25          4         22        262         10
   74      46         13          8          8        622        862         10
   75      49         11         18          2        171        411         10
   76      49         42         13         20        212        452         10
   77      53         43         14          5        730        970         10
   78      61         52          3          8        322        562         10
   80      56         37          6         15        728        968         10
   81      55         54         26         13        314        554         10
   82      15         47         16          6        106        346         10
   83      14         37         11          6         53        293         10
   84      11         31          7          3        354        594         10
   86       4         18         35          6        307        547         10
   87      28         18         26          9        314        554         10
   88      26         52          9         11        214        454         10
   89      26         35         15         29        718        958         10
   90      31         67          3          8        320        560         10
   91      15         19          1         13        683        923         10
   92      22         22          2         12         18        258         10
   95      25         24         20          6         42        282         10
   96      22         27         11         14        529        769         10
   97      25         21         12         23        523        763         10
   98      19         21         10         18        125        365         10
   99      20         26          9          7        263        503         10
  100      18         18         17         10        725        965         10
