Rdp204.80

CUSTOMER  VEHICLE
NUMBER	  NUMBER     CAPACITY
   80        25       1000

CUSTOMER
CUST NO.  XCOORD.   YCOORD.   DDEMAND   PDEMAND   READY TIME  DUE DATE   SERVICE TIME

    0      35         35          0          0          0       1000          0
    1      41         49         10          2          0        974         10
    4      55         20         19          5        678        801         10
    5      15         30         26         11          0        969         10
    6      25         30          3         11          0        978         10
    7      20         50          5         10          0        968         10
   10      30         60         16         13          0        964         10
   11      20         65         12          8        206        325         10
   12      50         35         19          3          0        975         10
   13      30         25         23          7        690        827         10
   14      15         10         20          8          0        957         10
   15      30          5          8          6        175        300         10
   16      10         20         19          5          0        960         10
   17       5         30          2         11          0        959         10
   18      20         40         12         46          0        974         10
   19      15         60         17         14          0        957         10
   21      45         20         11         12          0        971         10
   22      45         10         18          9          0        963         10
   23      55          5         29         14        206        325         10
   24      65         35          3         20          0        960         10
   26      45         30         17         13          0        978         10
   27      35         40         16          7          0        985         10
   29      64         42          9         13          0        960         10
   30      40         60         21          7          0        964         10
   31      31         52         27          3          0        972         10
   32      35         69         23          8          0        956         10
   33      53         52         11         24          0        965         10
   34      65         55         14          1          0        953         10
   35      63         65          8          5          0        948         10
   36       2         60          5         17          0        948         10
   38       5          5         16         32        302        405         10
   39      60         12         31          6          0        956         10
   40      40         25          9          5          0        978         10
   41      42          7          5          7          0        961         10
   42      24         12          5          7          0        964         10
   43      23          3          7          8          0        955         10
   44      11         14         18          4        233        340         10
   45       6         38         16         18          0        960         10
   46       2         48          1         14          0        954         10
   48      13         52         36          2          0        962         10
   49       6         68         30         26          0        946         10
   51      49         58         10          7          0        963         10
   52      27         43          9          4          0        978         10
   53      37         31         14          2        414        489         10
   54      57         29         18          9          0        967         10
   55      63         23          2          8        620        739         10
   56      53         12          6         20          0        960         10
   57      32         12          7         28          0        966         10
   58      36         26         18          7        849        980         10
   59      21         24         28         13          0        972         10
   60      17         34          3          5          0        971         10
   61      12         24         13          8          0        964         10
   63      27         69         10          4          0        955         10
   64      15         77          9         22          0        943         10
   65      62         77         20          8          0        940         10
   66      49         73         25          0          0        949         10
   68      56         39         36         38          0        968         10
   69      37         47          6          6        162        293         10
   70      37         56          5         10          0        968         10
   71      57         68         15         47          0        950         10
   72      47         16         25          2          0        967         10
   73      44         17          9          7          0        969         10
   75      49         11         18          7          0        962         10
   76      49         42         13         22        290        373         10
   77      53         43         14          4        817        952         10
   78      61         52          3          5          0        958         10
   79      57         48         23          7        388        465         10
   82      15         47         16          5          0        966         10
   83      14         37         11         13          0        968         10
   84      11         31          7         28        436        511         10
   85      16         22         41          7          0        966         10
   86       4         18         35          3          0        954         10
   87      28         18         26         24        420        447         10
   88      26         52          9          3          0        970         10
   90      31         67          3         14          0        957         10
   91      15         19          1          4          0        964         10
   93      18         24         22          9          0        969         10
   95      25         24         20         11          0        975         10
   98      19         21         10          2          0        968         10
   99      20         26          9         12        333        432         10
  100      18         18         17         15        798        965         10
