Rdp206.80

CUSTOMER  VEHICLE
NUMBER	  NUMBER     CAPACITY
   80        25       1000

CUSTOMER
CUST NO.  XCOORD.   YCOORD.   DDEMAND   PDEMAND   READY TIME  DUE DATE   SERVICE TIME

    0      35         35          0          0          0       1000          0
    1      41         49         10          3          0        974         10
    3      55         45         13         19          0        967         10
    4      55         20         19          8        620        860         10
    5      15         30         26          8          0        969         10
    6      25         30          3          8        345        585         10
    8      10         43          9          5        323        563         10
    9      55         60         16         14        329        569         10
   10      30         60         16         15        485        725         10
   11      20         65         12          8        146        386         10
   12      50         35         19         14          0        975         10
   13      30         25         23         16        639        879         10
   14      15         10         20         12         32        272         10
   15      30          5          8         14        118        358         10
   16      10         20         19         26        203        443         10
   17       5         30          2          1        682        922         10
   18      20         40         12         29        286        526         10
   21      45         20         11         29          0        971         10
   22      45         10         18          9        332        572         10
   23      55          5         29          2        146        386         10
   24      65         35          3         21        656        896         10
   25      65         20          6         13        716        956         10
   26      45         30         17         23          0        978         10
   27      35         40         16          5         60        300         10
   29      64         42          9          4        132        372         10
   30      40         60         21          3        187        427         10
   31      31         52         27         16          0        972         10
   32      35         69         23          2        599        839         10
   33      53         52         11          5         24        264         10
   34      65         55         14          5          0        953         10
   35      63         65          8          8        630        870         10
   36       2         60          5         13         41        281         10
   37      20         20          8         24          0        968         10
   38       5          5         16          2        234        474         10
   39      60         12         31         14         33        273         10
   40      40         25          9          9        279        519         10
   42      24         12          5         21         25        265         10
   43      23          3          7          9        543        783         10
   44      11         14         18         29        167        407         10
   45       6         38         16          3         29        269         10
   46       2         48          1          3        452        692         10
   47       8         56         27          2         48        288         10
   48      13         52         36         23          0        962         10
   50      47         47         13          8          0        973         10
   52      27         43          9         11          0        978         10
   53      37         31         14         20        332        572         10
   54      57         29         18         11        568        808         10
   55      63         23          2          3        560        800         10
   56      53         12          6          5        519        759         10
   57      32         12          7          8        356        596         10
   58      36         26         18          7        740        980         10
   59      21         24         28         14          0        972         10
   60      17         34          3         10        672        912         10
   62      24         58         19          9        113        353         10
   63      27         69         10         23         34        274         10
   64      15         77          9         11        154        394         10
   68      56         39         36         45        575        815         10
   70      37         56          5         20        728        968         10
   74      46         13          8         15        622        862         10
   76      49         42         13          8        212        452         10
   78      61         52          3         26        322        562         10
   79      57         48         23         15        307        547         10
   80      56         37          6         17        728        968         10
   81      55         54         26          6        314        554         10
   82      15         47         16         33          0        966         10
   83      14         37         11          6          0        968         10
   85      16         22         41         19          0        966         10
   86       4         18         35         10        307        547         10
   87      28         18         26          6        314        554         10
   88      26         52          9         15        214        454         10
   89      26         35         15          9        718        958         10
   90      31         67          3         32        320        560         10
   91      15         19          1          8          0        964         10
   92      22         22          2          6         18        258         10
   93      18         24         22          5        729        969         10
   94      26         27         27         11          0        977         10
   96      22         27         11          9          0        974         10
   97      25         21         12         26        523        763         10
   98      19         21         10         14          0        968         10
   99      20         26          9         10        263        503         10
  100      18         18         17          6        725        965         10
