RCdp201.40

CUSTOMER  VEHICLE
NUMBER	  NUMBER     CAPACITY
   40        25       1000

CUSTOMER
CUST NO.  XCOORD.   YCOORD.   DDEMAND   PDEMAND   READY TIME  DUE DATE   SERVICE TIME

    0      40         50          0          0          0        960          0
    1      25         85         20         10        673        793         10
    2      22         75         30         10        152        272         10
    4      20         80         40         20        644        764         10
    7      15         75         20         20        300        420         10
    8      15         80         10         30        367        487         10
    9      10         35         20         10        371        491         10
   13       5         35         10         30        653        773         10
   14       5         45         10         30         35        155         10
   16       0         40         20         10        255        375         10
   18      44          5         20         40        335        455         10
   21      40          5         10         10        215        335         10
   22      40         15         40         10        375        495         10
   23      38          5         30         30        201        321         10
   26      95         30         30         10        529        649         10
   28      92         30         10         10        149        269         10
   31      88         35         20         10        165        285         10
   37      65         82         10         40        557        677         10
   38      62         80         30         40        278        398         10
   42      55         80         10         30         33        153         10
   43      55         85         20         10        574        694         10
   45      20         82         10         10         37        157         10
   50      72         35         30         10        507        627         10
   55      30         60         16         15        599        719         10
   56      50         35         19         28        557        677         10
   57      30         25         23         13        397        517         10
   58      15         10         20          3        782        902         10
   63      65         20          6         31         39        159         10
   64      45         30         17         11        191        311         10
   70      35         69         23          6        810        930         10
   72      63         65          8          8         60        180         10
   77      23          3          7          6        764        884         10
   79       6         68         30         17        352        472         10
   80      47         47         13          9        822        942         10
   81      49         58         10          5        355        475         10
   83      37         31         14          3        105        225         10
   85      63         23          2          5        344        464         10
   87      12         24         13         37        359        479         10
   95      56         37          6         20        100        220         10
   96      55         54         26          4        562        682         10
   98      26         52          9          8        172        292         10
