RCdp207.40

CUSTOMER  VEHICLE
NUMBER	  NUMBER     CAPACITY
   40        25       1000

CUSTOMER
CUST NO.  XCOORD.   YCOORD.   DDEMAND   PDEMAND   READY TIME  DUE DATE   SERVICE TIME

    0      40         50          0          0          0        960          0
    5      20         85         20         10         40        390         10
    9      10         35         20         20        236        625         10
   11       8         40         40         20         33        510         10
   18      44          5         20         20        338        451         10
   20      42         15         10         30        511        682         10
   22      40         15         40         20        263        606         10
   24      38         15         10         30        598        883         10
   28      92         30         10         10         68        349         10
   30      88         30         10         20        114        497         10
   32      87         30         10         20        564        797         10
   35      67         85         20         10        396        905         10
   38      62         80         30         10        131        544         10
   39      60         80         10         30         36        800         10
   40      60         85         30         20        233        544         10
   43      55         85         20         40        549        718         10
   45      20         82         10         20         37        677         10
   48      42          5         10         20        636        904         10
   51      55         20         19         15        281        490         10
   52      25         30          3         13        109        360         10
   57      30         25         23          7        347        566         10
   58      15         10         20          6        380        902         10
   60      15         60         17         13        613        894         10
   61      45         65          9          6        230        405         10
   62      65         35          3          3         29        587         10
   64      45         30         17         14         20        497         10
   66      41         37         16          7        423        828         10
   70      35         69         23         27        211        930         10
   71      65         55         14          7        201        400         10
   72      63         65          8          9         27        382         10
   75       5          5         16         12        183        400         10
   76      60         12         31         15        162        493         10
   78       8         56         27          8        195        654         10
   79       6         68         30         13        258        565         10
   80      47         47         13         15        426        942         10
   84      57         29         18         15        304        605         10
   85      63         23          2          5        318        489         10
   86      21         24         28         16        332        485         10
   88      24         58         19         25        100        539         10
   93      61         52          3          8        298        928         10
   97       4         18         35          7        546        667         10
