Cdp202.40

CUSTOMER  VEHICLE
NUMBER	  NUMBER     CAPACITY
   40        25       700

CUSTOMER
CUST NO.  XCOORD.   YCOORD.   DDEMAND   PDEMAND   READY TIME  DUE DATE   SERVICE TIME

    0      40         50          0          0          0       3390          0
    1      52         75         10         10          0       3272         90
    5      42         65         10         30          0       3284         90
   14      22         85         10         10       2026       2186         90
   16      20         85         40         10       1934       2094         90
   18      15         75         20         20       1742       1902         90
   19      15         80         10         10       1837       1997         90
   20      30         50         10         10         10        170         90
   26       8         62         10         10          0       3265         90
   27      23         52         10         10        209        369         90
   34       8         45         20         10          0       3267         90
   35       5         35         10         20        876       1036         90
   36       5         45         10         40       1253       1413         90
   37       2         40         20         10          0       3260         90
   39       0         45         20         10       1158       1318         90
   47      30         35         10         10       2480       2640         90
   50      26         32         10         20          0       3277         90
   54      42         10         40         20       1160       1320         90
   55      42         15         10         10       1065       1225         90
   58      38          5         30         30       1442       1602         90
   62      50         35         20         20        120        280         90
   63      50         40         50         40         25        185         90
   64      48         30         10         20        493        653         90
   65      44         25         10         10        871       1031         90
   66      47         35         10         40        588        748         90
   68      42         30         10         10        776        936         90
   72      53         30         10         10          0       3276         90
   73      92         30         10         10       2414       2574         90
   75      45         65         20         20          0       3284         90
   80      85         25         10         20       2513       2673         90
   81      85         35         30         10       2703       2863         90
   82      75         55         20         30          0       3264         90
   84      70         58         20         10       1641       1801         90
   85      86         46         30         20          0       3253         90
   87      64         46         20         40       3097       3257         90
   89      56         64         10         40       1355       1515         90
   90      60         55         10         10       3119       3279         90
   93      42         58         40         50          8        168         90
   95      62         80         30         20          0       3262         90
   99      55         80         10         10        407        567         90
  100      55         85         20         10        502        662         90
