RCdp202.40

CUSTOMER  VEHICLE
NUMBER	  NUMBER     CAPACITY
   40        25       1000

CUSTOMER
CUST NO.  XCOORD.   YCOORD.   DDEMAND   PDEMAND   READY TIME  DUE DATE   SERVICE TIME

    0      40         50          0          0          0        960          0
    4      20         80         40         40        644        764         10
   10      10         40         30         10        519        639         10
   11       8         40         40         30        195        315         10
   14       5         45         10         10         35        155         10
   16       0         40         20         20        255        375         10
   17       0         45         20         10        703        823         10
   19      42         10         40         10        254        374         10
   20      42         15         10         20        537        657         10
   21      40          5         10         20          0        905         10
   26      95         30         30         10          0        891         10
   27      95         35         20         10        146        266         10
   29      90         35         10         20        194        314         10
   34      85         35         30         40          0        902         10
   35      67         85         20         40        657        777         10
   36      65         85         40         20         43        163         10
   38      62         80         30         30        278        398         10
   40      60         85         30         10        329        449         10
   41      58         75         20         10        376        496         10
   47       2         45         10         20        105        225         10
   49      42         12         10         10        440        560         10
   50      72         35         30         30          0        914         10
   56      50         35         19         11        557        677         10
   57      30         25         23          0        397        517         10
   59      10         20         19          9          0        907         10
   64      45         30         17         39        191        311         10
   65      35         40         16          4         11        131         10
   66      41         37         16          4        566        686         10
   71      65         55         14          5        241        361         10
   72      63         65          8          2          0        922         10
   73       2         60          5         16        286        406         10
   78       8         56         27         15        365        485         10
   80      47         47         13         10        822        942         10
   85      63         23          2          7          0        914         10
   86      21         24         28          7        349        469         10
   87      12         24         13         10        359        479         10
   90      37         47          6         12        359        479         10
   95      56         37          6         18          0        929         10
   98      26         52          9         14          0        935         10
   99      26         35         15         16        308        428         10
  100      31         67          3          4        810        930         10
