Rdp208.40

CUSTOMER  VEHICLE
NUMBER	  NUMBER     CAPACITY
   40        25       1000

CUSTOMER
CUST NO.  XCOORD.   YCOORD.   DDEMAND   PDEMAND   READY TIME  DUE DATE   SERVICE TIME

    0      35         35          0          0          0       1000          0
    2      35         17          7          4          0        972         10
    4      55         20         19          6        620        860         10
    5      15         30         26         10          0        969         10
   13      30         25         23         20        639        879         10
   14      15         10         20         21          0        957         10
   15      30          5          8          6        118        358         10
   17       5         30          2         17          0        959         10
   26      45         30         17          5          0        978         10
   31      31         52         27         12          0        972         10
   32      35         69         23         11          0        956         10
   33      53         52         11         11          0        965         10
   34      65         55         14          9          0        953         10
   35      63         65          8          6          0        948         10
   36       2         60          5         29          0        948         10
   37      20         20          8         11          0        968         10
   40      40         25          9          7          0        978         10
   43      23          3          7         44          0        955         10
   45       6         38         16          4          0        960         10
   47       8         56         27         16          0        955         10
   57      32         12          7          7          0        966         10
   59      21         24         28         13          0        972         10
   64      15         77          9         25          0        943         10
   65      62         77         20         10          0        940         10
   66      49         73         25          8          0        949         10
   68      56         39         36         12          0        968         10
   69      37         47          6         31        108        348         10
   70      37         56          5         20          0        968         10
   71      57         68         15          6          0        950         10
   74      46         13          8         17        622        862         10
   76      49         42         13         16        212        452         10
   78      61         52          3         20          0        958         10
   82      15         47         16          6          0        966         10
   83      14         37         11         11          0        968         10
   85      16         22         41         17          0        966         10
   87      28         18         26         25        314        554         10
   88      26         52          9         30          0        970         10
   89      26         35         15         15          0        981         10
   91      15         19          1         11          0        964         10
   92      22         22          2          5         18        258         10
   98      19         21         10         23          0        968         10
