RCdp107.40

CUSTOMER  VEHICLE
NUMBER	  NUMBER     CAPACITY
   40        25       200

CUSTOMER
CUST NO.  XCOORD.   YCOORD.   DDEMAND   PDEMAND   READY TIME  DUE DATE   SERVICE TIME

    0      40         50          0          0          0        240          0
    2      22         75         30         10         32         97         10
    7      15         75         20         40         69        118         10
    8      15         80         10         20         56        155         10
    9      10         35         20         10         51        160         10
   10      10         40         30         30         90        177         10
   11       8         40         40         10         33        152         10
   13       5         35         10         10         62        191         10
   14       5         45         10         30         35        117         10
   15       2         40         20         10         39        161         10
   16       0         40         20         10         59        114         10
   17       0         45         20         20         60        189         10
   22      40         15         40         20         55        158         10
   25      35          5         20         10         54        184         10
   26      95         30         30         40        105        154         10
   27      95         35         20         10         57        172         10
   29      90         35         10         20         52        112         10
   32      87         30         10         20        116        175         10
   35      67         85         20         20         61        185         10
   36      65         85         40         40         43        186         10
   38      62         80         30         10         37        148         10
   40      60         85         30         10         50        149         10
   41      58         75         20         40         48        165         10
   43      55         85         20         20        117        168         10
   48      42          5         10         30        120        184         10
   53      20         50          5         14         57        154         10
   58      15         10         20         16         56        182         10
   59      10         20         19          6         42        125         10
   60      15         60         17          9        137        202         10
   62      65         35          3          7         29        158         10
   63      65         20          6         22         39        108         10
   70      35         69         23         11         60        210         10
   72      63         65          8         12         27        101         10
   74      20         20          8          5         72        193         10
   77      23          3          7          1         52        180         10
   82      27         43          9          1         26         87         10
   84      57         29         18         21         62        159         10
   86      21         24         28         11         77        126         10
   89      67          5         25         18        105        177         10
   94      57         48         23          7         86        133         10
   98      26         52          9          7         30         91         10
