Cdp203.60

CUSTOMER  VEHICLE
NUMBER	  NUMBER     CAPACITY
   60        25       700

CUSTOMER
CUST NO.  XCOORD.   YCOORD.   DDEMAND   PDEMAND   READY TIME  DUE DATE   SERVICE TIME

    0      40         50          0          0          0       3390          0
    1      52         75         10         30          0       3272         90
    4      60         66         10         10       1261       1421         90
    5      42         65         10         10          0       3284         90
    7      58         70         20         10          0       3273         90
   11      35         69         10         10       2698       2858         90
   13      22         75         30         20       2405       2565         90
   14      22         85         10         10          0       3260         90
   16      20         85         40         20          0       3259         90
   18      15         75         20         40          0       3264         90
   19      15         80         10         10          0       3260         90
   20      30         50         10         10          0       3290         90
   23      14         66         10         10       1643       1803         90
   24      25         50         10         10          0       3285         90
   25      22         66         40         10       2504       2664         90
   26       8         62         10         10          0       3265         90
   28       4         55         20         10          0       3263         90
   29      20         50         10         20          0       3280         90
   30      20         55         10         10        303        463         90
   31      10         35         20         10          0       3266         90
   32      10         40         30         30          0       3268         90
   39       0         45         20         10       1158       1318         90
   41      35         32         10         10       2758       2918         90
   42      33         32         20         10       2666       2826         90
   46      34         25         30         20          0       3274         90
   47      30         35         10         20          0       3281         90
   48      36         40         10         20          0       3289         90
   49      48         20         10         10        967       1127         90
   50      26         32         10         30          0       3277         90
   51      25         30         10         20          0       3275         90
   52      25         35         10         10          0       3278         90
   54      42         10         40         20          0       3259         90
   56      40          5         30         20       1350       1510         90
   57      38         15         40         30          0       3264         90
   58      38          5         30         10       1442       1602         90
   59      38         10         10         10          0       3259         90
   60      35          5         20         40          0       3254         90
   61      50         30         10         10          0       3277         90
   62      50         35         20         10        120        280         90
   64      48         30         10         30        493        653         90
   66      47         35         10         20        588        748         90
   67      47         40         10         10         12        172         90
   70      95         30         30         10       2321       2481         90
   71      95         35         20         20          0       3242         90
   72      53         30         10         20          0       3276         90
   74      53         35         50         30        213        373         90
   78      78         40         20         30       2802       2962         90
   79      87         30         10         10       2608       2768         90
   80      85         25         10         30       2513       2673         90
   81      85         35         30         10          0       3252         90
   82      75         55         20         20          0       3264         90
   85      86         46         30         10          0       3253         90
   86      66         55         10         10          0       3273         90
   90      60         55         10         20          0       3279         90
   93      42         58         40         10          8        168         90
   94      65         82         10         10          0       3259         90
   95      62         80         30         20          0       3262         90
   96      62         40         10         20          0       3275         90
   98      58         75         20         40          0       3269         90
   99      55         80         10         20        407        567         90
  100      55         85         20         10        502        662         90
