RCdp207.60

CUSTOMER  VEHICLE
NUMBER	  NUMBER     CAPACITY
   60        25       1000

CUSTOMER
CUST NO.  XCOORD.   YCOORD.   DDEMAND   PDEMAND   READY TIME  DUE DATE   SERVICE TIME

    0      40         50          0          0          0        960          0
    5      20         85         20         10         40        390         10
    9      10         35         20         20        236        625         10
   10      10         40         30         10        470        687         10
   11       8         40         40         20         33        510         10
   16       0         40         20         10        214        415         10
   17       0         45         20         40        359        909         10
   18      44          5         20         20        338        451         10
   20      42         15         10         30        511        682         10
   21      40          5         10         10        158        391         10
   22      40         15         40         20        263        606         10
   24      38         15         10         30        598        883         10
   25      35          5         20         10        348        904         10
   28      92         30         10         10         68        349         10
   29      90         35         10         40        131        376         10
   30      88         30         10         20        114        497         10
   32      87         30         10         20        564        797         10
   33      85         25         10         40         51        673         10
   34      85         35         30         30        462        631         10
   35      67         85         20         10        396        905         10
   36      65         85         40         20         43        712         10
   38      62         80         30         10        131        544         10
   39      60         80         10         30         36        800         10
   40      60         85         30         20        233        544         10
   41      58         75         20         10        207        664         10
   43      55         85         20         40        549        718         10
   44      55         82         10         10         62        491         10
   45      20         82         10         20         37        677         10
   47       2         45         10         30         38        366         10
   48      42          5         10         20        636        904         10
   51      55         20         19         15        281        490         10
   52      25         30          3         13        109        360         10
   54      55         60         16         23        568        753         10
   57      30         25         23          7        347        566         10
   58      15         10         20          6        380        902         10
   60      15         60         17         13        613        894         10
   61      45         65          9          6        230        405         10
   62      65         35          3          3         29        587         10
   63      65         20          6          7         39        353         10
   64      45         30         17         14         20        497         10
   66      41         37         16          7        423        828         10
   69      31         52         27          8          9        532         10
   70      35         69         23         27        211        930         10
   71      65         55         14          7        201        400         10
   72      63         65          8          9         27        382         10
   75       5          5         16         12        183        400         10
   76      60         12         31         15        162        493         10
   78       8         56         27          8        195        654         10
   79       6         68         30         13        258        565         10
   80      47         47         13         15        426        942         10
   82      27         43          9          7         85        338         10
   84      57         29         18         15        304        605         10
   85      63         23          2          5        318        489         10
   86      21         24         28         16        332        485         10
   88      24         58         19         25        100        539         10
   89      67          5         25         36        565        897         10
   90      37         47          6          8        324        513         10
   91      49         42         13         10        651        906         10
   93      61         52          3          8        298        928         10
   94      57         48         23         10        385        518         10
   97       4         18         35          7        546        667         10
