Rdp108.60

CUSTOMER  VEHICLE
NUMBER	  NUMBER     CAPACITY
   60        25        200

CUSTOMER
CUST NO.  XCOORD.   YCOORD.   DDEMAND   PDEMAND   READY TIME  DUE DATE   SERVICE TIME

    0      35         35          0          0          0        230          0
    3      55         45         13         19          0        197         10
    4      55         20         19         13        139        169         10
    6      25         30          3         15          0        208         10
    8      10         43          9         16         85        115         10
    9      55         60         16          4         87        117         10
   10      30         60         16         12          0        194         10
   11      20         65         12         14         57         87         10
   13      30         25         23          6        149        179         10
   16      10         20         19          8          0        190         10
   17       5         30          2         12          0        189         10
   18      20         40         12          0          0        204         10
   19      15         60         17         34          0        187         10
   22      45         10         18         10          0        193         10
   23      55          5         29         13         58         88         10
   24      65         35          3         11          0        190         10
   26      45         30         17         11          0        208         10
   27      35         40         16         12          0        215         10
   29      64         42          9         14          0        190         10
   31      31         52         27          9          0        202         10
   32      35         69         23         17          0        186         10
   34      65         55         14         21          0        183         10
   35      63         65          8         19          0        178         10
   36       2         60          5          3          0        178         10
   37      20         20          8          7          0        198         10
   39      60         12         31         10          0        186         10
   40      40         25          9          5          0        208         10
   41      42          7          5          5          0        191         10
   43      23          3          7          9          0        185         10
   44      11         14         18          7         59         89         10
   47       8         56         27         12          0        185         10
   49       6         68         30         10          0        176         10
   50      47         47         13          1          0        203         10
   51      49         58         10         48          0        193         10
   57      32         12          7         14          0        196         10
   58      36         26         18         14        180        210         10
   59      21         24         28          3          0        202         10
   60      17         34          3         10          0        201         10
   61      12         24         13         22          0        194         10
   62      24         58         19          9         48         78         10
   64      15         77          9          2          0        173         10
   66      49         73         25          8          0        179         10
   67      67          5         25         31         73        103         10
   68      56         39         36          3          0        198         10
   69      37         47          6         19         40         70         10
   70      37         56          5         10          0        198         10
   71      57         68         15         20          0        180         10
   76      49         42         13         18         63         93         10
   77      53         43         14         12        169        199         10
   81      55         54         26          4          0        192         10
   83      14         37         11         12          0        198         10
   84      11         31          7         11         91        121         10
   85      16         22         41         19          0        196         10
   86       4         18         35         19          0        184         10
   89      26         35         15         18          0        211         10
   91      15         19          1         29          0        194         10
   94      26         27         27          3          0        207         10
   95      25         24         20         17          0        205         10
   97      25         21         12          7          0        202         10
   99      20         26          9          3         73        103         10
  100      18         18         17          4        165        195         10
