Cdp207.60

CUSTOMER  VEHICLE
NUMBER	  NUMBER     CAPACITY
   60        25       700

CUSTOMER
CUST NO.  XCOORD.   YCOORD.   DDEMAND   PDEMAND   READY TIME  DUE DATE   SERVICE TIME

    0      40         50          0          0          0       3390          0
    1      52         75         10         10        302        479         90
    3      62         69         10         20       1138       1355         90
    4      60         66         10         30       1247       1434         90
    6      16         42         20         10        209        944         90
    7      58         70         20         10       1059       1246         90
    8      34         60         20         10       2035       3288         90
   11      35         69         10         10       2428       3127         90
   12      25         85         20         20       1772       2625         90
   13      22         75         30         20       2135       2834         90
   15      20         80         40         20       1858       2733         90
   16      20         85         40         40       1512       2515         90
   18      15         75         20         20       1299       2344         90
   19      15         80         10         20       1461       2372         90
   21      30         56         20         30       2062       3288         90
   22      28         52         20         10         12        752         90
   25      22         66         40         10       2177       2990         90
   28       4         55         20         30       1010       2043         90
   31      10         35         20         20        309       1412         90
   33       8         40         40         20        234       1295         90
   34       8         45         20         20        954       1897         90
   36       5         45         10         10        819       1846         90
   37       2         40         20         10        494       1607         90
   40      36         18         10         10       1468       2329         90
   41      35         32         10         30       2480       3195         90
   43      33         35         10         10       2368       2937         90
   46      34         25         30         20       1782       2395         90
   47      30         35         10         20       2242       2877         90
   48      36         40         10         20       2605       3266         90
   49      48         20         10         10        812       1281         90
   50      26         32         10         10       1842       2901         90
   51      25         30         10         30       1883       2676         90
   53      44          5         20         30       1078       1593         90
   57      38         15         40         20       1426       2183         90
   58      38          5         30         10       1133       1910         90
   60      35          5         20         10       1180       2049         90
   61      50         30         10         20        223        738         90
   62      50         35         20         10         18        474         90
   64      48         30         10         10        246        899         90
   66      47         35         10         10        393        942         90
   68      42         30         10         10        641       1070         90
   69      45         35         10         10        534        985         90
   70      95         30         30         10       2119       2682         90
   76      90         35         10         10       2106       2315         90
   78      78         40         20         10       2599       3164         90
   79      87         30         10         20       2505       2870         90
   80      85         25         10         10       2369       2816         90
   81      85         35         30         30       2563       3002         90
   82      75         55         20         10       1894       2115         90
   83      72         55         10         20       1751       2072         90
   84      70         58         20         10       1617       1824         90
   85      86         46         30         30       1969       2248         90
   86      66         55         10         10       1710       1921         90
   87      64         46         20         50       2976       3275         90
   88      65         60         30         40       1482       1769         90
   89      56         64         10         20       1275       1594         90
   91      60         60         10         10       1440       1621         90
   94      65         82         10         10        708       1027         90
   96      62         40         10         20       2713       3275         90
   98      58         75         20         10        948       1167         90
   99      55         80         10         20        379        594         90
