Rdp203.60

CUSTOMER  VEHICLE
NUMBER	  NUMBER     CAPACITY
   60        25       1000

CUSTOMER
CUST NO.  XCOORD.   YCOORD.   DDEMAND   PDEMAND   READY TIME  DUE DATE   SERVICE TIME

    0      35         35          0          0          0       1000          0
    2      35         17          7          8          0        972         10
    3      55         45         13          5          0        967         10
    4      55         20         19         22        678        801         10
    5      15         30         26         11          0        969         10
    9      55         60         16         12        400        497         10
   14      15         10         20         17          0        957         10
   15      30          5          8          8        175        300         10
   16      10         20         19          8          0        960         10
   19      15         60         17          3          0        957         10
   20      45         65          9         15          0        958         10
   21      45         20         11         12          0        971         10
   22      45         10         18         12        409        494         10
   23      55          5         29          7        206        325         10
   24      65         35          3         19          0        960         10
   25      65         20          6          1        817        956         10
   26      45         30         17         12          0        978         10
   28      41         37         16         12          0        983         10
   31      31         52         27         32          0        972         10
   33      53         52         11         13         45        200         10
   36       2         60          5          6         41        208         10
   38       5          5         16          5        302        405         10
   42      24         12          5          4         25        172         10
   44      11         14         18         15        233        340         10
   46       2         48          1         18          0        954         10
   47       8         56         27         26          0        955         10
   49       6         68         30          3        501        540         10
   50      47         47         13         15          0        973         10
   51      49         58         10         24          0        963         10
   54      57         29         18         14          0        967         10
   55      63         23          2         27        620        739         10
   56      53         12          6         40        585        692         10
   57      32         12          7         16          0        966         10
   59      21         24         28          5          0        972         10
   60      17         34          3         18          0        971         10
   63      27         69         10          8          0        955         10
   64      15         77          9         15        214        333         10
   67      67          5         25         12        294        401         10
   68      56         39         36         10        637        752         10
   69      37         47          6         10        162        293         10
   70      37         56          5         11        788        968         10
   71      57         68         15          7          0        950         10
   72      47         16         25         10          0        967         10
   73      44         17          9          1          0        969         10
   74      46         13          8         18        681        802         10
   75      49         11         18          6          0        962         10
   76      49         42         13          8        290        373         10
   77      53         43         14         18        817        952         10
   78      61         52          3          8        384        499         10
   80      56         37          6          7        839        968         10
   82      15         47         16          6          0        966         10
   83      14         37         11         24          0        968         10
   87      28         18         26         10        420        447         10
   88      26         52          9         17        279        388         10
   91      15         19          1         23          0        964         10
   92      22         22          2         13         18        181         10
   93      18         24         22         29        811        969         10
   96      22         27         11         13          0        974         10
   97      25         21         12         33          0        972         10
   99      20         26          9         10        333        432         10
  100      18         18         17         12        798        965         10
