Rdp107.60

CUSTOMER  VEHICLE
NUMBER	  NUMBER     CAPACITY
   60        25        200

CUSTOMER
CUST NO.  XCOORD.   YCOORD.   DDEMAND   PDEMAND   READY TIME  DUE DATE   SERVICE TIME

    0      35         35          0          0          0        230          0
    4      55         20         19         10        139        169         10
    5      15         30         26          9          0        199         10
    6      25         30          3         18         89        119         10
    7      20         50          5          5          0        198         10
    9      55         60         16         20         87        117         10
   10      30         60         16          5        114        144         10
   13      30         25         23         10        149        179         10
   16      10         20         19         38          0        190         10
   17       5         30          2         17        147        177         10
   18      20         40         12          0          0        204         10
   20      45         65          9         25          0        188         10
   21      45         20         11          7          0        201         10
   22      45         10         18          5         87        117         10
   26      45         30         17         13          0        208         10
   27      35         40         16         10         27         57         10
   28      41         37         16          6          0        213         10
   30      40         60         21         16         61         91         10
   31      31         52         27         14          0        202         10
   32      35         69         23         23          0        186         10
   33      53         52         11         30         27         57         10
   35      63         65          8          7        133        163         10
   37      20         20          8         34          0        198         10
   40      40         25          9         24         75        105         10
   41      42          7          5         29         87        117         10
   42      24         12          5          9         25         55         10
   43      23          3          7          9          0        185         10
   45       6         38         16          2         29         59         10
   46       2         48          1          9          0        184         10
   48      13         52         36          7          0        192         10
   51      49         58         10          2          0        193         10
   52      27         43          9          7          0        208         10
   54      57         29         18         22          0        197         10
   55      63         23          2         14        126        156         10
   56      53         12          6         19        120        150         10
   58      36         26         18         12        180        210         10
   59      21         24         28          8          0        202         10
   61      12         24         13         35          0        194         10
   65      62         77         20         21         49         79         10
   66      49         73         25         48        117        147         10
   70      37         56          5          5        168        198         10
   71      57         68         15         29          0        180         10
   73      44         17          9         22          0        199         10
   74      46         13          8          4        139        169         10
   76      49         42         13          7         63         93         10
   80      56         37          6          5        168        198         10
   81      55         54         26          5          0        192         10
   82      15         47         16         23          0        196         10
   83      14         37         11         26          0        198         10
   84      11         31          7          5         91        121         10
   86       4         18         35         19          0        184         10
   88      26         52          9         10         64         94         10
   89      26         35         15          5          0        211         10
   90      31         67          3         13          0        187         10
   91      15         19          1         25          0        194         10
   92      22         22          2         15         18         48         10
   94      26         27         27          3          0        207         10
   95      25         24         20          5          0        205         10
   97      25         21         12         26          0        202         10
   99      20         26          9         16         73        103         10
  100      18         18         17         20        165        195         10
