Rdp210.60

CUSTOMER  VEHICLE
NUMBER	  NUMBER     CAPACITY
   60        25       1000

CUSTOMER
CUST NO.  XCOORD.   YCOORD.   DDEMAND   PDEMAND   READY TIME  DUE DATE   SERVICE TIME

    0      35         35          0          0          0       1000          0
    1      41         49         10         15        190        974         10
    2      35         17          7          4         18        792         10
    3      55         45         13         29        289        822         10
    8      10         43          9         14        393        492         10
   11      20         65         12          7        206        325         10
   12      50         35         19          9         15        725         10
   13      30         25         23         30        694        823         10
   14      15         10         20         11         32        694         10
   15      30          5          8         20        176        299         10
   16      10         20         19          3        102        543         10
   18      20         40         12         39        229        582         10
   19      15         60         17          5         95        552         10
   22      45         10         18          0        349        554         10
   24      65         35          3         15        435        960         10
   26      45         30         17          3        328        927         10
   28      41         37         16          9          6        526         10
   29      64         42          9         15         29        513         10
   31      31         52         27         11         17        744         10
   33      53         52         11         13         24        299         10
   34      65         55         14         17        265        878         10
   35      63         65          8         19        626        873         10
   38       5          5         16         34        298        409         10
   39      60         12         31         10         33        344         10
   41      42          7          5         35        336        571         10
   43      23          3          7         17        458        867         10
   44      11         14         18          4        230        343         10
   46       2         48          1         25        338        805         10
   47       8         56         27         27         34        602         10
   48      13         52         36         16        200        962         10
   49       6         68         30          3        441        600         10
   51      49         58         10          4        176        625         10
   54      57         29         18          3        475        900         10
   56      53         12          6          7        525        752         10
   57      32         12          7         24        246        705         10
   59      21         24         28          4         17        972         10
   60      17         34          3          4        449        971         10
   63      27         69         10          8         34        588         10
   64      15         77          9         13        154        393         10
   67      67          5         25          8        291        404         10
   68      56         39         36         17        577        812         10
   70      37         56          5         26        668        968         10
   71      57         68         15         25         98        537         10
   72      47         16         25         21         22        915         10
   73      44         17          9         12        143        564         10
   76      49         42         13          7        281        382         10
   77      53         43         14          6        821        948         10
   79      57         48         23         10        377        476         10
   80      56         37          6          4        719        968         10
   81      55         54         26          9        268        599         10
   82      15         47         16         15         23        761         10
   84      11         31          7          7        425        522         10
   85      16         22         41         22        110        727         10
   87      28         18         26          7        397        470         10
   90      31         67          3          8        225        654         10
   92      22         22          2         32         18        159         10
   93      18         24         22         11        691        969         10
   94      26         27         27         25        190        749         10
   95      25         24         20         11         14        793         10
   97      25         21         12          2        462        823         10
  100      18         18         17         30        821        965         10
