instance name;fleet name;opt?;routes
Cdp101;new_MI2_base;false;1: (0 3 2 1 101 ) ,2: (0 5 101 ) ,3: (0 6 4 75 101 ) ,4: (0 7 101 ) ,5: (0 8 10 11 23 101 ) ,6: (0 13 12 101 ) ,7: (0 15 9 101 ) ,8: (0 16 14 101 ) ,9: (0 17 18 19 101 ) ,10: (0 20 22 21 101 ) ,11: (0 24 27 30 101 ) ,12: (0 25 29 101 ) ,13: (0 28 26 101 ) ,14: (0 32 31 101 ) ,15: (0 33 35 101 ) ,16: (0 37 38 101 ) ,17: (0 39 36 34 101 ) ,18: (0 41 40 44 101 ) ,19: (0 42 47 101 ) ,20: (0 43 101 ) ,21: (0 45 101 ) ,22: (0 46 48 49 101 ) ,23: (0 51 50 52 101 ) ,24: (0 53 56 101 ) ,25: (0 54 59 101 ) ,26: (0 57 55 101 ) ,27: (0 58 60 101 ) ,28: (0 63 101 ) ,29: (0 64 68 69 101 ) ,30: (0 65 62 101 ) ,31: (0 67 101 ) ,32: (0 72 61 66 101 ) ,33: (0 74 101 ) ,34: (0 76 70 73 101 ) ,35: (0 77 79 80 101 ) ,36: (0 78 71 101 ) ,37: (0 81 101 ) ,38: (0 82 84 101 ) ,39: (0 85 89 91 101 ) ,40: (0 86 83 101 ) ,41: (0 90 87 101 ) ,42: (0 93 99 101 ) ,43: (0 94 92 101 ) ,44: (0 96 95 101 ) ,45: (0 97 100 101 ) ,46: (0 98 88 101 ) ,
Cdp102;new_MI2_base;false;1: (0 5 101 ) ,2: (0 7 10 101 ) ,3: (0 8 4 3 101 ) ,4: (0 9 6 101 ) ,5: (0 13 17 101 ) ,6: (0 15 11 101 ) ,7: (0 16 14 101 ) ,8: (0 18 19 12 101 ) ,9: (0 20 22 21 101 ) ,10: (0 25 30 101 ) ,11: (0 28 26 23 101 ) ,12: (0 29 34 101 ) ,13: (0 31 35 37 101 ) ,14: (0 32 24 27 101 ) ,15: (0 33 36 101 ) ,16: (0 38 39 101 ) ,17: (0 40 44 101 ) ,18: (0 42 41 101 ) ,19: (0 43 46 45 101 ) ,20: (0 50 51 48 101 ) ,21: (0 52 49 47 101 ) ,22: (0 53 56 101 ) ,23: (0 55 54 101 ) ,24: (0 57 59 101 ) ,25: (0 58 60 101 ) ,26: (0 63 101 ) ,27: (0 67 65 62 101 ) ,28: (0 68 66 69 101 ) ,29: (0 70 77 80 101 ) ,30: (0 71 73 101 ) ,31: (0 72 61 64 101 ) ,32: (0 74 101 ) ,33: (0 75 2 101 ) ,34: (0 81 78 101 ) ,35: (0 84 82 83 101 ) ,36: (0 85 76 79 101 ) ,37: (0 86 88 89 101 ) ,38: (0 90 87 91 101 ) ,39: (0 93 99 101 ) ,40: (0 94 100 1 101 ) ,41: (0 95 92 101 ) ,42: (0 96 101 ) ,43: (0 97 98 101 ) ,
Cdp103;new_MI2_base;false;1: (0 2 1 101 ) ,2: (0 3 101 ) ,3: (0 5 7 101 ) ,4: (0 8 9 101 ) ,5: (0 10 11 101 ) ,6: (0 13 12 101 ) ,7: (0 15 14 101 ) ,8: (0 16 101 ) ,9: (0 17 19 18 101 ) ,10: (0 21 22 20 101 ) ,11: (0 24 29 27 101 ) ,12: (0 25 23 101 ) ,13: (0 26 28 30 101 ) ,14: (0 32 31 101 ) ,15: (0 33 35 101 ) ,16: (0 37 38 101 ) ,17: (0 39 36 34 101 ) ,18: (0 40 44 45 101 ) ,19: (0 42 41 101 ) ,20: (0 46 49 101 ) ,21: (0 52 51 50 47 101 ) ,22: (0 54 55 101 ) ,23: (0 56 101 ) ,24: (0 57 48 101 ) ,25: (0 59 58 43 101 ) ,26: (0 60 53 101 ) ,27: (0 62 64 68 69 101 ) ,28: (0 63 101 ) ,29: (0 67 65 101 ) ,30: (0 72 61 66 101 ) ,31: (0 73 70 80 101 ) ,32: (0 74 101 ) ,33: (0 75 6 4 101 ) ,34: (0 76 71 77 79 101 ) ,35: (0 81 78 101 ) ,36: (0 85 84 101 ) ,37: (0 87 82 83 101 ) ,38: (0 88 89 101 ) ,39: (0 90 86 101 ) ,40: (0 93 99 101 ) ,41: (0 96 95 91 101 ) ,42: (0 97 100 101 ) ,43: (0 98 94 92 101 ) ,
Cdp104;new_MI2_base;true;1: (0 1 101 ) ,2: (0 2 5 101 ) ,3: (0 3 4 75 101 ) ,4: (0 7 6 9 101 ) ,5: (0 8 11 10 101 ) ,6: (0 13 17 101 ) ,7: (0 15 19 101 ) ,8: (0 16 101 ) ,9: (0 18 14 12 101 ) ,10: (0 21 22 20 101 ) ,11: (0 23 26 101 ) ,12: (0 25 29 101 ) ,13: (0 28 30 27 24 101 ) ,14: (0 32 31 101 ) ,15: (0 33 35 101 ) ,16: (0 34 39 36 101 ) ,17: (0 38 37 101 ) ,18: (0 40 43 101 ) ,19: (0 42 41 101 ) ,20: (0 46 44 101 ) ,21: (0 47 101 ) ,22: (0 50 49 101 ) ,23: (0 52 51 48 45 101 ) ,24: (0 54 55 101 ) ,25: (0 56 53 101 ) ,26: (0 57 59 101 ) ,27: (0 60 58 101 ) ,28: (0 62 65 101 ) ,29: (0 63 101 ) ,30: (0 64 68 101 ) ,31: (0 67 66 69 101 ) ,32: (0 71 77 79 80 101 ) ,33: (0 72 61 101 ) ,34: (0 73 70 76 101 ) ,35: (0 74 101 ) ,36: (0 81 78 101 ) ,37: (0 84 82 83 101 ) ,38: (0 85 90 101 ) ,39: (0 86 87 101 ) ,40: (0 91 88 89 101 ) ,41: (0 93 94 101 ) ,42: (0 95 92 101 ) ,43: (0 97 100 101 ) ,44: (0 99 96 98 101 ) ,
Cdp105;new_MI2_base;true;1: (0 1 101 ) ,2: (0 3 7 10 11 101 ) ,3: (0 5 75 101 ) ,4: (0 8 6 4 101 ) ,5: (0 13 17 101 ) ,6: (0 15 9 101 ) ,7: (0 16 14 101 ) ,8: (0 18 19 12 101 ) ,9: (0 20 21 101 ) ,10: (0 24 29 22 101 ) ,11: (0 25 27 101 ) ,12: (0 30 28 26 23 101 ) ,13: (0 32 31 101 ) ,14: (0 33 35 101 ) ,15: (0 37 38 101 ) ,16: (0 39 36 34 101 ) ,17: (0 41 40 101 ) ,18: (0 42 44 101 ) ,19: (0 43 101 ) ,20: (0 45 48 51 50 47 101 ) ,21: (0 46 52 49 101 ) ,22: (0 54 61 101 ) ,23: (0 55 53 59 101 ) ,24: (0 56 69 101 ) ,25: (0 57 68 101 ) ,26: (0 58 60 101 ) ,27: (0 62 72 64 101 ) ,28: (0 63 101 ) ,29: (0 65 101 ) ,30: (0 67 66 101 ) ,31: (0 70 77 101 ) ,32: (0 73 79 101 ) ,33: (0 74 101 ) ,34: (0 76 71 101 ) ,35: (0 80 101 ) ,36: (0 81 78 101 ) ,37: (0 83 82 101 ) ,38: (0 84 85 101 ) ,39: (0 88 89 91 101 ) ,40: (0 90 87 86 101 ) ,41: (0 92 97 101 ) ,42: (0 93 99 101 ) ,43: (0 95 100 101 ) ,44: (0 96 94 101 ) ,45: (0 98 2 101 ) ,
Cdp106;new_MI2_base;true;1: (0 1 101 ) ,2: (0 2 75 101 ) ,3: (0 5 3 101 ) ,4: (0 7 8 11 101 ) ,5: (0 10 9 6 4 101 ) ,6: (0 13 18 101 ) ,7: (0 15 36 101 ) ,8: (0 16 14 101 ) ,9: (0 17 19 12 101 ) ,10: (0 20 22 101 ) ,11: (0 23 21 101 ) ,12: (0 24 30 28 26 101 ) ,13: (0 25 27 101 ) ,14: (0 29 39 34 101 ) ,15: (0 32 31 101 ) ,16: (0 33 35 101 ) ,17: (0 37 38 101 ) ,18: (0 40 44 45 50 101 ) ,19: (0 43 42 41 101 ) ,20: (0 46 47 101 ) ,21: (0 51 101 ) ,22: (0 52 49 101 ) ,23: (0 53 59 101 ) ,24: (0 54 55 101 ) ,25: (0 56 48 101 ) ,26: (0 57 61 101 ) ,27: (0 58 60 101 ) ,28: (0 63 101 ) ,29: (0 65 62 101 ) ,30: (0 66 69 101 ) ,31: (0 67 101 ) ,32: (0 70 71 101 ) ,33: (0 72 64 68 101 ) ,34: (0 73 80 101 ) ,35: (0 74 101 ) ,36: (0 78 76 79 101 ) ,37: (0 81 77 101 ) ,38: (0 83 82 84 101 ) ,39: (0 87 86 101 ) ,40: (0 89 88 91 101 ) ,41: (0 90 85 101 ) ,42: (0 94 93 101 ) ,43: (0 95 96 101 ) ,44: (0 97 92 101 ) ,45: (0 98 99 100 101 ) ,
Cdp107;new_MI2_base;true;1: (0 2 1 101 ) ,2: (0 3 7 101 ) ,3: (0 5 101 ) ,4: (0 8 6 4 101 ) ,5: (0 10 9 75 101 ) ,6: (0 13 12 101 ) ,7: (0 15 11 101 ) ,8: (0 16 14 101 ) ,9: (0 17 18 19 101 ) ,10: (0 20 22 21 101 ) ,11: (0 24 29 30 28 101 ) ,12: (0 25 27 101 ) ,13: (0 26 23 101 ) ,14: (0 31 35 37 101 ) ,15: (0 32 34 101 ) ,16: (0 33 36 101 ) ,17: (0 38 39 101 ) ,18: (0 41 40 64 68 101 ) ,19: (0 42 101 ) ,20: (0 43 101 ) ,21: (0 44 45 48 47 101 ) ,22: (0 46 49 101 ) ,23: (0 51 50 52 101 ) ,24: (0 53 56 101 ) ,25: (0 55 54 101 ) ,26: (0 57 59 101 ) ,27: (0 58 60 101 ) ,28: (0 62 72 61 101 ) ,29: (0 63 101 ) ,30: (0 66 69 101 ) ,31: (0 67 65 101 ) ,32: (0 70 73 77 101 ) ,33: (0 74 101 ) ,34: (0 76 71 80 101 ) ,35: (0 78 79 101 ) ,36: (0 81 101 ) ,37: (0 83 82 84 101 ) ,38: (0 86 85 101 ) ,39: (0 87 89 101 ) ,40: (0 90 88 101 ) ,41: (0 94 93 101 ) ,42: (0 95 91 101 ) ,43: (0 97 100 101 ) ,44: (0 98 96 92 101 ) ,45: (0 99 101 ) ,
Cdp108;new_MI2_base;true;1: (0 5 2 1 101 ) ,2: (0 6 4 75 101 ) ,3: (0 8 7 3 101 ) ,4: (0 13 10 101 ) ,5: (0 14 12 9 101 ) ,6: (0 15 19 101 ) ,7: (0 16 11 101 ) ,8: (0 18 17 101 ) ,9: (0 20 29 27 101 ) ,10: (0 23 22 21 101 ) ,11: (0 25 24 101 ) ,12: (0 30 28 26 101 ) ,13: (0 31 35 37 101 ) ,14: (0 32 34 101 ) ,15: (0 33 36 101 ) ,16: (0 38 39 101 ) ,17: (0 41 43 101 ) ,18: (0 42 44 40 101 ) ,19: (0 46 49 101 ) ,20: (0 48 51 50 52 101 ) ,21: (0 54 64 101 ) ,22: (0 55 59 45 47 101 ) ,23: (0 56 53 101 ) ,24: (0 57 101 ) ,25: (0 60 58 101 ) ,26: (0 62 72 61 68 101 ) ,27: (0 63 101 ) ,28: (0 65 67 101 ) ,29: (0 66 69 101 ) ,30: (0 73 70 80 101 ) ,31: (0 74 101 ) ,32: (0 78 76 71 101 ) ,33: (0 81 77 79 101 ) ,34: (0 83 82 84 101 ) ,35: (0 87 86 101 ) ,36: (0 88 91 101 ) ,37: (0 90 85 89 101 ) ,38: (0 92 97 101 ) ,39: (0 94 93 101 ) ,40: (0 96 95 101 ) ,41: (0 98 99 101 ) ,42: (0 100 101 ) ,
Cdp109;new_MI2_base;false;0
Cdp201;new_MI2_base;true;1: (0 5 16 14 12 11 10 101 ) ,2: (0 6 32 33 36 34 101 ) ,3: (0 20 22 24 27 29 21 101 ) ,4: (0 30 23 18 19 15 17 13 9 8 101 ) ,5: (0 31 35 37 38 39 28 26 25 101 ) ,6: (0 45 51 50 52 47 43 42 41 48 101 ) ,7: (0 54 53 56 58 60 59 101 ) ,8: (0 67 63 62 74 72 61 64 66 101 ) ,9: (0 69 68 65 49 55 57 40 44 46 101 ) ,10: (0 86 76 71 70 73 80 79 81 78 96 101 ) ,11: (0 89 88 84 83 82 85 77 87 101 ) ,12: (0 93 75 2 1 7 3 4 91 90 101 ) ,13: (0 99 100 97 92 94 95 98 101 ) ,
