instance name;fleet name;opt?;routes
Rdp101;1vehc1pcs0perc;true;1: (0 2 21 73 41 56 4 101 ) ,2: (0 5 83 61 85 37 93 101 ) ,3: (0 12 76 79 3 54 24 80 101 ) ,4: (0 14 44 38 43 13 101 ) ,5: (0 27 69 30 51 20 32 70 101 ) ,6: (0 28 29 78 34 35 77 101 ) ,7: (0 31 88 7 101 ) ,8: (0 33 81 50 68 101 ) ,9: (0 36 47 19 8 46 17 101 ) ,10: (0 39 23 67 55 25 101 ) ,11: (0 40 53 26 101 ) ,12: (0 45 82 18 84 60 89 101 ) ,13: (0 52 6 101 ) ,14: (0 59 99 94 96 101 ) ,15: (0 62 11 90 10 101 ) ,16: (0 63 64 49 48 101 ) ,17: (0 65 71 9 66 1 101 ) ,18: (0 72 75 22 74 58 101 ) ,19: (0 92 42 15 87 57 97 101 ) ,20: (0 95 98 16 86 91 100 101 ) ,
Rdp101;1vehc1pcs5perc;true;1: (0 2 21 73 41 56 4 101 ) ,2: (0 12 76 79 3 54 24 80 101 ) ,3: (0 14 44 38 43 101 ) ,4: (0 27 31 88 7 101 ) ,5: (0 28 29 78 34 35 101 ) ,6: (0 33 81 50 68 77 101 ) ,7: (0 36 47 19 8 46 17 101 ) ,8: (0 39 23 67 55 25 101 ) ,9: (0 40 26 101 ) ,10: (0 45 83 84 60 89 101 ) ,11: (0 52 99 94 96 101 ) ,12: (0 53 101 ) ,13: (0 59 5 61 85 37 93 101 ) ,14: (0 62 11 90 10 101 ) ,15: (0 63 64 49 48 101 ) ,16: (0 65 71 9 66 1 101 ) ,17: (0 69 30 51 20 32 70 101 ) ,18: (0 72 75 22 74 58 101 ) ,19: (0 82 18 6 101 ) ,20: (0 92 42 15 87 57 97 13 101 ) ,21: (0 95 98 16 86 91 100 101 ) ,
Rdp101;1vehc1pcs10perc;true;1: (0 2 21 73 41 56 4 101 ) ,2: (0 12 76 79 3 54 24 80 101 ) ,3: (0 14 44 38 43 101 ) ,4: (0 27 31 88 7 101 ) ,5: (0 28 29 78 34 35 101 ) ,6: (0 33 81 50 68 77 101 ) ,7: (0 36 47 19 8 46 17 101 ) ,8: (0 39 23 67 55 25 101 ) ,9: (0 40 26 101 ) ,10: (0 45 83 84 60 89 101 ) ,11: (0 52 99 94 96 101 ) ,12: (0 53 101 ) ,13: (0 59 5 61 85 37 93 101 ) ,14: (0 62 11 90 10 101 ) ,15: (0 63 64 49 48 101 ) ,16: (0 65 71 9 66 1 101 ) ,17: (0 69 30 51 20 32 70 101 ) ,18: (0 72 75 22 74 58 101 ) ,19: (0 82 18 6 101 ) ,20: (0 92 42 15 87 57 97 13 101 ) ,21: (0 95 98 16 86 91 100 101 ) ,
Rdp101;1vehc1pcs15perc;true;1: (0 2 21 73 41 56 4 101 ) ,2: (0 12 76 79 3 54 24 80 101 ) ,3: (0 14 44 38 43 101 ) ,4: (0 27 31 88 7 101 ) ,5: (0 28 29 78 34 35 101 ) ,6: (0 33 81 50 68 77 101 ) ,7: (0 36 47 19 8 46 17 101 ) ,8: (0 39 23 67 55 25 101 ) ,9: (0 40 26 101 ) ,10: (0 45 83 84 60 89 101 ) ,11: (0 52 99 94 96 101 ) ,12: (0 53 101 ) ,13: (0 59 5 61 85 37 93 101 ) ,14: (0 62 11 90 10 101 ) ,15: (0 63 64 49 48 101 ) ,16: (0 65 71 9 66 1 101 ) ,17: (0 69 30 51 20 32 70 101 ) ,18: (0 72 75 22 74 58 101 ) ,19: (0 82 18 6 101 ) ,20: (0 92 42 15 87 57 97 13 101 ) ,21: (0 95 98 16 86 91 100 101 ) ,
Rdp101;1vehc1pcs20perc;true;1: (0 2 21 73 41 74 58 101 ) ,2: (0 12 76 79 3 54 24 80 101 ) ,3: (0 14 44 38 43 101 ) ,4: (0 27 31 88 7 101 ) ,5: (0 28 29 78 34 35 101 ) ,6: (0 33 81 50 68 77 101 ) ,7: (0 36 47 19 8 46 17 101 ) ,8: (0 39 23 67 55 25 101 ) ,9: (0 40 26 101 ) ,10: (0 45 83 84 60 89 101 ) ,11: (0 52 99 94 96 101 ) ,12: (0 53 101 ) ,13: (0 59 5 61 85 37 93 101 ) ,14: (0 62 11 90 10 101 ) ,15: (0 63 64 49 48 101 ) ,16: (0 65 71 9 66 1 101 ) ,17: (0 69 30 51 20 32 70 101 ) ,18: (0 72 75 22 56 4 101 ) ,19: (0 82 18 6 101 ) ,20: (0 92 42 15 87 57 97 13 101 ) ,21: (0 95 98 16 86 91 100 101 ) ,
Rdp101;1vehc1pcs25perc;true;1: (0 2 21 73 41 74 58 101 ) ,2: (0 12 76 79 3 54 24 80 101 ) ,3: (0 14 44 38 43 101 ) ,4: (0 27 31 88 7 101 ) ,5: (0 28 29 78 34 35 101 ) ,6: (0 33 81 50 68 77 101 ) ,7: (0 36 47 19 8 46 17 101 ) ,8: (0 39 23 67 55 25 101 ) ,9: (0 40 26 101 ) ,10: (0 45 83 84 60 89 101 ) ,11: (0 52 99 94 96 101 ) ,12: (0 53 101 ) ,13: (0 59 5 61 85 37 93 101 ) ,14: (0 62 11 90 10 101 ) ,15: (0 63 64 49 48 101 ) ,16: (0 65 71 9 66 1 101 ) ,17: (0 69 30 51 20 32 70 101 ) ,18: (0 72 75 22 56 4 101 ) ,19: (0 82 18 6 101 ) ,20: (0 92 42 15 87 57 97 13 101 ) ,21: (0 95 98 16 86 91 100 101 ) ,
Rdp101;1vehc1pcs30perc;true;1: (0 2 21 73 41 74 58 101 ) ,2: (0 12 76 79 3 54 24 80 101 ) ,3: (0 14 44 38 43 101 ) ,4: (0 27 31 88 7 101 ) ,5: (0 28 29 78 34 35 101 ) ,6: (0 33 81 50 68 77 101 ) ,7: (0 36 47 19 8 46 17 101 ) ,8: (0 39 23 67 55 25 101 ) ,9: (0 40 26 101 ) ,10: (0 45 83 84 60 89 101 ) ,11: (0 52 99 94 96 101 ) ,12: (0 53 101 ) ,13: (0 59 5 61 85 37 93 101 ) ,14: (0 62 11 90 10 101 ) ,15: (0 63 64 49 48 101 ) ,16: (0 65 71 9 66 1 101 ) ,17: (0 69 30 51 20 32 70 101 ) ,18: (0 72 75 22 56 4 101 ) ,19: (0 82 18 6 101 ) ,20: (0 92 42 15 87 57 97 13 101 ) ,21: (0 95 98 16 86 91 100 101 ) ,
Rdp101;1vehc1pcs35perc;true;1: (0 2 21 73 41 74 58 101 ) ,2: (0 5 61 85 37 93 101 ) ,3: (0 12 54 24 80 101 ) ,4: (0 14 44 38 43 101 ) ,5: (0 27 52 88 7 101 ) ,6: (0 28 76 79 3 68 77 101 ) ,7: (0 31 30 20 32 70 101 ) ,8: (0 33 29 78 34 35 101 ) ,9: (0 36 47 19 8 46 17 101 ) ,10: (0 39 23 67 55 25 101 ) ,11: (0 40 26 101 ) ,12: (0 45 83 84 60 89 101 ) ,13: (0 53 101 ) ,14: (0 59 99 94 96 101 ) ,15: (0 62 11 90 10 101 ) ,16: (0 63 64 49 48 101 ) ,17: (0 65 71 81 50 101 ) ,18: (0 69 51 9 66 1 101 ) ,19: (0 72 75 22 56 4 101 ) ,20: (0 82 18 6 101 ) ,21: (0 92 42 15 87 57 97 13 101 ) ,22: (0 95 98 16 86 91 100 101 ) ,
Rdp101;1vehc1pcs40perc;true;1: (0 2 21 73 41 74 58 101 ) ,2: (0 5 61 85 37 93 101 ) ,3: (0 12 54 24 80 101 ) ,4: (0 14 44 38 43 101 ) ,5: (0 27 52 88 7 101 ) ,6: (0 28 76 79 3 68 77 101 ) ,7: (0 31 30 20 32 70 101 ) ,8: (0 33 29 78 34 35 101 ) ,9: (0 36 47 19 8 46 17 101 ) ,10: (0 39 23 67 55 25 101 ) ,11: (0 40 26 101 ) ,12: (0 45 83 84 60 89 101 ) ,13: (0 53 101 ) ,14: (0 59 99 94 96 101 ) ,15: (0 62 11 90 10 101 ) ,16: (0 63 64 49 48 101 ) ,17: (0 65 71 81 50 101 ) ,18: (0 69 51 9 66 1 101 ) ,19: (0 72 75 22 56 4 101 ) ,20: (0 82 18 6 101 ) ,21: (0 92 42 15 87 57 97 13 101 ) ,22: (0 95 98 16 86 91 100 101 ) ,
Rdp101;1vehc1pcs45perc;true;1: (0 2 87 97 13 101 ) ,2: (0 5 61 85 37 93 101 ) ,3: (0 12 54 24 80 101 ) ,4: (0 14 44 38 43 101 ) ,5: (0 21 73 41 56 4 101 ) ,6: (0 27 31 88 7 101 ) ,7: (0 28 76 79 3 68 77 101 ) ,8: (0 29 78 34 35 101 ) ,9: (0 33 81 50 101 ) ,10: (0 36 47 19 8 46 17 101 ) ,11: (0 39 23 67 55 25 101 ) ,12: (0 40 26 101 ) ,13: (0 45 83 84 60 89 101 ) ,14: (0 52 101 ) ,15: (0 53 101 ) ,16: (0 59 99 94 96 101 ) ,17: (0 62 11 90 10 101 ) ,18: (0 63 64 49 48 101 ) ,19: (0 65 71 9 66 1 101 ) ,20: (0 69 30 51 20 32 70 101 ) ,21: (0 72 75 22 74 101 ) ,22: (0 82 18 6 101 ) ,23: (0 92 42 15 57 58 101 ) ,24: (0 95 98 16 86 91 100 101 ) ,
